Name,Marks,Present
imoore@riddle.com,93,0
bradley12@yahoo.com,32,1
casey25@hotmail.com,88,1
angelawest@hotmail.com,57,1
jorge86@hunter-parker.org,35,1
privera@gmail.com,81,1
rachel94@arnold.net,39,0
gsalazar@larson.com,42,1
amartinez@barry.net,27,1
porterlisa@yahoo.com,19,0
frederickbryant@campbell-johnson.org,51,1
lauragreen@hotmail.com,51,0
tammy52@hotmail.com,30,0
mark33@vasquez-simpson.com,45,1
poncederrick@yahoo.com,97,1
zthornton@young.com,74,1
georgestacey@gmail.com,28,1
anthonymendoza@myers.com,99,1
andrewjoseph@gmail.com,96,0
jenniferanderson@tran.com,78,1
baileysusan@yahoo.com,79,1
david56@hotmail.com,95,0
petersonanna@gmail.com,55,1
erin53@hotmail.com,65,0
judy98@hotmail.com,22,1
fsparks@hotmail.com,82,1
awilliams@lewis.com,46,0
meganferguson@morris-phillips.net,29,0
joe41@taylor-bennett.org,20,0
cmitchell@grant-lewis.org,73,1
