Name,Marks,Present
psmith@wilson.org,73,1
jmeyer@zimmerman-green.com,48,1
carpenternathan@cox.com,67,1
john90@yahoo.com,92,1
angelaingram@gmail.com,95,1
grantdavis@hotmail.com,78,1
zachary37@morales.biz,54,1
derek99@gmail.com,68,1
ymatthews@johnson.com,19,1
martinezscott@yahoo.com,22,1
isaiah36@charles.com,50,1
christinegutierrez@lee-flores.biz,15,1
qtaylor@hotmail.com,86,1
asmith@yahoo.com,30,1
gina98@yahoo.com,60,1
jamesboyd@gmail.com,60,1
rodneymonroe@bruce.com,49,1
seangallegos@hall.com,36,1
louis02@yahoo.com,53,0
garciajames@gmail.com,27,0
anne57@gilbert.com,67,1
valentinekeith@hotmail.com,41,1
mckinneyjoshua@hotmail.com,94,1
kimberly32@ortega.net,93,0
brendariggs@gmail.com,70,1
williamsbrianna@gmail.com,49,1
victoriachristensen@cohen.biz,55,0
staceyortiz@madden.net,60,1
nicholssamantha@hotmail.com,91,1
robinwoods@lynch.biz,96,0
