Name,Marks,Present
imoore@riddle.com,33,1
bradley12@yahoo.com,91,1
casey25@hotmail.com,74,0
angelawest@hotmail.com,65,1
jorge86@hunter-parker.org,53,0
privera@gmail.com,30,0
rachel94@arnold.net,40,1
gsalazar@larson.com,22,0
amartinez@barry.net,80,0
porterlisa@yahoo.com,55,0
frederickbryant@campbell-johnson.org,35,1
lauragreen@hotmail.com,98,1
tammy52@hotmail.com,84,1
mark33@vasquez-simpson.com,57,1
poncederrick@yahoo.com,73,1
zthornton@young.com,33,1
georgestacey@gmail.com,97,1
anthonymendoza@myers.com,74,1
andrewjoseph@gmail.com,32,1
jenniferanderson@tran.com,51,1
baileysusan@yahoo.com,45,0
david56@hotmail.com,81,1
petersonanna@gmail.com,35,1
erin53@hotmail.com,35,1
judy98@hotmail.com,48,1
fsparks@hotmail.com,23,1
awilliams@lewis.com,100,1
meganferguson@morris-phillips.net,59,0
joe41@taylor-bennett.org,16,1
cmitchell@grant-lewis.org,48,0
